country,year,sex,list,cause,cdr
GBRTENW,2005,1,interm,12,119
GBRTENW,2005,1,interm,13,176
GBRTENW,2005,1,interm,14,115
GBRTENW,2005,1,interm,15,56
GBRTENW,2005,1,interm,16,119
GBRTENW,2005,1,interm,17,54
GBRTENW,2005,1,interm,18,20
GBRTENW,2005,1,interm,19,644
GBRTENW,2005,1,interm,20,43
GBRTENW,2005,1,interm,21,3
GBRTENW,2005,1,interm,22,0
GBRTENW,2005,1,interm,23,0
GBRTENW,2005,1,interm,24,0
GBRTENW,2005,1,interm,25,348
GBRTENW,2005,1,interm,26,6
GBRTENW,2005,1,interm,27,107
GBRTENW,2005,1,interm,28,75
GBRTENW,2005,1,interm,29,68
GBRTENW,2005,1,interm,30,84
GBRTENW,2005,1,interm,31,131
GBRTENW,2005,1,interm,32,20
GBRTENW,2005,1,interm,33,303
GBRTENW,2005,1,interm,34,58
GBRTENW,2005,1,interm,35,102
GBRTENW,2005,1,interm,36,1
GBRTENW,2005,1,interm,37,25
GBRTENW,2005,1,interm,38,17
GBRTENW,2005,1,interm,39,138
GBRTENW,2005,1,interm,40,16
GBRTENW,2005,1,interm,41,26
GBRTENW,2005,1,interm,42,3
GBRTENW,2005,1,interm,43,53
GBRTENW,2005,1,interm,44,94
GBRTENW,2005,1,interm,45,66
GBRTENW,2005,1,interm,46,23
GBRTENW,2005,1,interm,47,36
GBRTENW,2005,1,interm,48,13
GBRTENW,2005,1,interm,49,6
GBRTENW,2005,1,interm,50,55
GBRTENW,2005,1,interm,51,789
GBRTENW,2005,1,interm,52,475
GBRTENW,2005,1,interm,53,631
GBRTENW,2005,1,interm,54,53
GBRTENW,2005,1,interm,55,61
GBRTENW,2005,1,interm,56,1
GBRTENW,2005,1,interm,57,139
GBRTENW,2005,1,interm,58,125
GBRTENW,2005,1,interm,59,122
GBRTENW,2005,1,interm,60,80
GBRTENW,2005,1,interm,61,519
GBRTENW,2005,1,interm,62,26
GBRTENW,2005,1,interm,63,248
