country,year,sex,list,cause,cdr
GBRTENW,2013,1,short,9,215
GBRTENW,2013,1,short,10,435
GBRTENW,2013,1,short,11,834
GBRTENW,2013,1,short,12,422
GBRTENW,2013,1,short,13,71
GBRTENW,2013,1,short,14,148
GBRTENW,2013,1,short,15,67
GBRTENW,2013,1,short,16,432
GBRTENW,2014,1,short,0,8663
GBRTENW,2014,1,short,1,85
GBRTENW,2014,1,short,2,2785
GBRTENW,2014,1,short,3,17
GBRTENW,2014,1,short,4,123
GBRTENW,2014,1,short,5,508
GBRTENW,2014,1,short,6,385
GBRTENW,2014,1,short,7,1747
GBRTENW,2014,1,short,8,509
GBRTENW,2014,1,short,9,210
GBRTENW,2014,1,short,10,456
GBRTENW,2014,1,short,11,700
GBRTENW,2014,1,short,12,426
GBRTENW,2014,1,short,13,67
GBRTENW,2014,1,short,14,132
GBRTENW,2014,1,short,15,68
GBRTENW,2014,1,short,16,445
GBRTENW,2015,1,short,0,9033
GBRTENW,2015,1,short,1,95
GBRTENW,2015,1,short,2,2789
GBRTENW,2015,1,short,3,18
GBRTENW,2015,1,short,4,132
GBRTENW,2015,1,short,5,587
GBRTENW,2015,1,short,6,440
GBRTENW,2015,1,short,7,1781
GBRTENW,2015,1,short,8,514
GBRTENW,2015,1,short,9,207
GBRTENW,2015,1,short,10,534
GBRTENW,2015,1,short,11,753
GBRTENW,2015,1,short,12,434
GBRTENW,2015,1,short,13,71
GBRTENW,2015,1,short,14,146
GBRTENW,2015,1,short,15,69
GBRTENW,2015,1,short,16,461
GBRTENW,2016,1,short,0,9022
GBRTENW,2016,1,short,1,93
GBRTENW,2016,1,short,2,2807
GBRTENW,2016,1,short,3,19
GBRTENW,2016,1,short,4,140
GBRTENW,2016,1,short,5,597
GBRTENW,2016,1,short,6,466
GBRTENW,2016,1,short,7,1745
GBRTENW,2016,1,short,8,493
GBRTENW,2016,1,short,9,203
GBRTENW,2016,1,short,10,507
GBRTENW,2016,1,short,11,753
GBRTENW,2016,1,short,12,442
GBRTENW,2016,1,short,13,74
GBRTENW,2016,1,short,14,146
GBRTENW,2016,1,short,15,69
GBRTENW,2016,1,short,16,469
GBRTENW,2001,2,short,0,10379
GBRTENW,2001,2,short,1,86
GBRTENW,2001,2,short,2,2551
GBRTENW,2001,2,short,3,23
GBRTENW,2001,2,short,4,162
GBRTENW,2001,2,short,5,374
GBRTENW,2001,2,short,6,300
GBRTENW,2001,2,short,7,2532
GBRTENW,2001,2,short,8,1425
GBRTENW,2001,2,short,9,351
GBRTENW,2001,2,short,10,795
GBRTENW,2001,2,short,11,633
GBRTENW,2001,2,short,12,492
GBRTENW,2001,2,short,13,166
GBRTENW,2001,2,short,14,175
GBRTENW,2001,2,short,15,64
GBRTENW,2001,2,short,16,251
GBRTENW,2002,2,short,0,10431
GBRTENW,2002,2,short,1,87
GBRTENW,2002,2,short,2,2557
GBRTENW,2002,2,short,3,25
GBRTENW,2002,2,short,4,166
GBRTENW,2002,2,short,5,382
GBRTENW,2002,2,short,6,304
GBRTENW,2002,2,short,7,2491
GBRTENW,2002,2,short,8,1426
GBRTENW,2002,2,short,9,336
GBRTENW,2002,2,short,10,827
GBRTENW,2002,2,short,11,666
GBRTENW,2002,2,short,12,503
GBRTENW,2002,2,short,13,170
GBRTENW,2002,2,short,14,189
GBRTENW,2002,2,short,15,60
GBRTENW,2002,2,short,16,243
GBRTENW,2003,2,short,0,10535
GBRTENW,2003,2,short,1,98
GBRTENW,2003,2,short,2,2519
GBRTENW,2003,2,short,3,24
GBRTENW,2003,2,short,4,170
GBRTENW,2003,2,short,5,402
GBRTENW,2003,2,short,6,325
GBRTENW,2003,2,short,7,2444
GBRTENW,2003,2,short,8,1391
GBRTENW,2003,2,short,9,338
GBRTENW,2003,2,short,10,865
GBRTENW,2003,2,short,11,736
GBRTENW,2003,2,short,12,515
GBRTENW,2003,2,short,13,175
GBRTENW,2003,2,short,14,208
GBRTENW,2003,2,short,15,68
GBRTENW,2003,2,short,16,258
GBRTENW,2004,2,short,0,9889
GBRTENW,2004,2,short,1,106
GBRTENW,2004,2,short,2,2464
GBRTENW,2004,2,short,3,23
GBRTENW,2004,2,short,4,158
GBRTENW,2004,2,short,5,378
GBRTENW,2004,2,short,6,295
GBRTENW,2004,2,short,7,2229
GBRTENW,2004,2,short,8,1260
GBRTENW,2004,2,short,9,314
GBRTENW,2004,2,short,10,761
GBRTENW,2004,2,short,11,688
GBRTENW,2004,2,short,12,514
GBRTENW,2004,2,short,13,165
GBRTENW,2004,2,short,14,213
GBRTENW,2004,2,short,15,64
GBRTENW,2004,2,short,16,258
GBRTENW,2005,2,short,0,9859
GBRTENW,2005,2,short,1,132
GBRTENW,2005,2,short,2,2469
GBRTENW,2005,2,short,3,25
GBRTENW,2005,2,short,4,155
GBRTENW,2005,2,short,5,382
GBRTENW,2005,2,short,6,302
GBRTENW,2005,2,short,7,2140
GBRTENW,2005,2,short,8,1201
GBRTENW,2005,2,short,9,299
GBRTENW,2005,2,short,10,785
GBRTENW,2005,2,short,11,735
GBRTENW,2005,2,short,12,514
GBRTENW,2005,2,short,13,164
GBRTENW,2005,2,short,14,236
GBRTENW,2005,2,short,15,62
GBRTENW,2005,2,short,16,258
GBRTENW,2006,2,short,0,9512
GBRTENW,2006,2,short,1,164
GBRTENW,2006,2,short,2,2445
GBRTENW,2006,2,short,3,21
GBRTENW,2006,2,short,4,149
GBRTENW,2006,2,short,5,381
GBRTENW,2006,2,short,6,301
GBRTENW,2006,2,short,7,2001
GBRTENW,2006,2,short,8,1125
GBRTENW,2006,2,short,9,285
GBRTENW,2006,2,short,10,699
GBRTENW,2006,2,short,11,709
GBRTENW,2006,2,short,12,511
GBRTENW,2006,2,short,13,158
GBRTENW,2006,2,short,14,242
GBRTENW,2006,2,short,15,63
GBRTENW,2006,2,short,16,257
GBRTENW,2007,2,short,0,9500
GBRTENW,2007,2,short,1,175
GBRTENW,2007,2,short,2,2460
GBRTENW,2007,2,short,3,22
GBRTENW,2007,2,short,4,149
GBRTENW,2007,2,short,5,424
GBRTENW,2007,2,short,6,324
GBRTENW,2007,2,short,7,1953
GBRTENW,2007,2,short,8,1082
GBRTENW,2007,2,short,9,275
GBRTENW,2007,2,short,10,690
GBRTENW,2007,2,short,11,720
GBRTENW,2007,2,short,12,507
GBRTENW,2007,2,short,13,159
GBRTENW,2007,2,short,14,251
GBRTENW,2007,2,short,15,62
GBRTENW,2007,2,short,16,248
GBRTENW,2008,2,short,0,9532
GBRTENW,2008,2,short,1,133
GBRTENW,2008,2,short,2,2453
GBRTENW,2008,2,short,3,20
GBRTENW,2008,2,short,4,148
GBRTENW,2008,2,short,5,470
GBRTENW,2008,2,short,6,344
GBRTENW,2008,2,short,7,1911
GBRTENW,2008,2,short,8,1071
GBRTENW,2008,2,short,9,269
GBRTENW,2008,2,short,10,714
GBRTENW,2008,2,short,11,741
GBRTENW,2008,2,short,12,504
GBRTENW,2008,2,short,13,163
GBRTENW,2008,2,short,14,266
GBRTENW,2008,2,short,15,63
GBRTENW,2008,2,short,16,262
GBRTENW,2009,2,short,0,9010
GBRTENW,2009,2,short,1,117
GBRTENW,2009,2,short,2,2396
GBRTENW,2009,2,short,3,21
GBRTENW,2009,2,short,4,144
GBRTENW,2009,2,short,5,449
GBRTENW,2009,2,short,6,340
GBRTENW,2009,2,short,7,1772
GBRTENW,2009,2,short,8,986
GBRTENW,2009,2,short,9,262
GBRTENW,2009,2,short,10,641
GBRTENW,2009,2,short,11,676
GBRTENW,2009,2,short,12,482
GBRTENW,2009,2,short,13,149
GBRTENW,2009,2,short,14,265
GBRTENW,2009,2,short,15,63
GBRTENW,2009,2,short,16,246
GBRTENW,2010,2,short,0,9017
GBRTENW,2010,2,short,1,100
GBRTENW,2010,2,short,2,2406
GBRTENW,2010,2,short,3,22
GBRTENW,2010,2,short,4,144
GBRTENW,2010,2,short,5,503
GBRTENW,2010,2,short,6,358
GBRTENW,2010,2,short,7,1728
GBRTENW,2010,2,short,8,973
GBRTENW,2010,2,short,9,257
GBRTENW,2010,2,short,10,607
GBRTENW,2010,2,short,11,702
GBRTENW,2010,2,short,12,488
GBRTENW,2010,2,short,13,148
GBRTENW,2010,2,short,14,278
GBRTENW,2010,2,short,15,60
GBRTENW,2010,2,short,16,244
GBRTENW,2011,2,short,0,8754
GBRTENW,2011,2,short,1,109
GBRTENW,2011,2,short,2,2416
GBRTENW,2011,2,short,3,20
GBRTENW,2011,2,short,4,127
GBRTENW,2011,2,short,5,772
GBRTENW,2011,2,short,6,365
GBRTENW,2011,2,short,7,1543
GBRTENW,2011,2,short,8,790
GBRTENW,2011,2,short,9,216
GBRTENW,2011,2,short,10,586
GBRTENW,2011,2,short,11,713
GBRTENW,2011,2,short,12,456
GBRTENW,2011,2,short,13,141
GBRTENW,2011,2,short,14,205
GBRTENW,2011,2,short,15,55
GBRTENW,2011,2,short,16,238
GBRTENW,2012,2,short,0,9021
GBRTENW,2012,2,short,1,102
GBRTENW,2012,2,short,2,2429
GBRTENW,2012,2,short,3,19
GBRTENW,2012,2,short,4,129
GBRTENW,2012,2,short,5,883
GBRTENW,2012,2,short,6,417
GBRTENW,2012,2,short,7,1587
GBRTENW,2012,2,short,8,788
GBRTENW,2012,2,short,9,220
GBRTENW,2012,2,short,10,585
GBRTENW,2012,2,short,11,763
GBRTENW,2012,2,short,12,457
GBRTENW,2012,2,short,13,146
GBRTENW,2012,2,short,14,208
GBRTENW,2012,2,short,15,56
GBRTENW,2012,2,short,16,232
GBRTENW,2013,2,short,0,9035
GBRTENW,2013,2,short,1,103
GBRTENW,2013,2,short,2,2403
GBRTENW,2013,2,short,3,18
GBRTENW,2013,2,short,4,128
GBRTENW,2013,2,short,5,931
GBRTENW,2013,2,short,6,438
GBRTENW,2013,2,short,7,1557
GBRTENW,2013,2,short,8,747
GBRTENW,2013,2,short,9,209
GBRTENW,2013,2,short,10,597
GBRTENW,2013,2,short,11,810
GBRTENW,2013,2,short,12,449
GBRTENW,2013,2,short,13,142
GBRTENW,2013,2,short,14,202
GBRTENW,2013,2,short,15,51
GBRTENW,2013,2,short,16,250
GBRTENW,2014,2,short,0,8803
GBRTENW,2014,2,short,1,100
GBRTENW,2014,2,short,2,2404
GBRTENW,2014,2,short,3,17
GBRTENW,2014,2,short,4,133
GBRTENW,2014,2,short,5,976
GBRTENW,2014,2,short,6,485
GBRTENW,2014,2,short,7,1479
GBRTENW,2014,2,short,8,714
GBRTENW,2014,2,short,9,196
GBRTENW,2014,2,short,10,604
GBRTENW,2014,2,short,11,619
GBRTENW,2014,2,short,12,434
GBRTENW,2014,2,short,13,132
GBRTENW,2014,2,short,14,187
GBRTENW,2014,2,short,15,57
GBRTENW,2014,2,short,16,265
GBRTENW,2015,2,short,0,9312
GBRTENW,2015,2,short,1,110
GBRTENW,2015,2,short,2,2396
GBRTENW,2015,2,short,3,22
GBRTENW,2015,2,short,4,140
GBRTENW,2015,2,short,5,1149
GBRTENW,2015,2,short,6,566
GBRTENW,2015,2,short,7,1498
GBRTENW,2015,2,short,8,728
GBRTENW,2015,2,short,9,196
GBRTENW,2015,2,short,10,708
GBRTENW,2015,2,short,11,691
GBRTENW,2015,2,short,12,452
GBRTENW,2015,2,short,13,140
GBRTENW,2015,2,short,14,189
GBRTENW,2015,2,short,15,51
GBRTENW,2015,2,short,16,276
GBRTENW,2016,2,short,0,9112
GBRTENW,2016,2,short,1,109
GBRTENW,2016,2,short,2,2423
GBRTENW,2016,2,short,3,18
GBRTENW,2016,2,short,4,140
GBRTENW,2016,2,short,5,1133
GBRTENW,2016,2,short,6,608
GBRTENW,2016,2,short,7,1441
GBRTENW,2016,2,short,8,666
GBRTENW,2016,2,short,9,190
GBRTENW,2016,2,short,10,630
GBRTENW,2016,2,short,11,671
GBRTENW,2016,2,short,12,443
GBRTENW,2016,2,short,13,133
GBRTENW,2016,2,short,14,182
GBRTENW,2016,2,short,15,55
GBRTENW,2016,2,short,16,269
GBRTENW,2001,3,short,0,10134
GBRTENW,2001,3,short,1,83
GBRTENW,2001,3,short,2,2692
GBRTENW,2001,3,short,3,20
GBRTENW,2001,3,short,4,151
GBRTENW,2001,3,short,5,285
GBRTENW,2001,3,short,6,279
GBRTENW,2001,3,short,7,2647
GBRTENW,2001,3,short,8,1160
GBRTENW,2001,3,short,9,352
GBRTENW,2001,3,short,10,653
GBRTENW,2001,3,short,11,681
GBRTENW,2001,3,short,12,456
GBRTENW,2001,3,short,13,117
GBRTENW,2001,3,short,14,153
GBRTENW,2001,3,short,15,72
GBRTENW,2001,3,short,16,334
GBRTENW,2002,3,short,0,10149
GBRTENW,2002,3,short,1,84
GBRTENW,2002,3,short,2,2698
GBRTENW,2002,3,short,3,21
GBRTENW,2002,3,short,4,153
GBRTENW,2002,3,short,5,287
GBRTENW,2002,3,short,6,285
GBRTENW,2002,3,short,7,2587
GBRTENW,2002,3,short,8,1164
GBRTENW,2002,3,short,9,343
GBRTENW,2002,3,short,10,672
GBRTENW,2002,3,short,11,707
GBRTENW,2002,3,short,12,469
GBRTENW,2002,3,short,13,120
GBRTENW,2002,3,short,14,167
GBRTENW,2002,3,short,15,70
GBRTENW,2002,3,short,16,321
GBRTENW,2003,3,short,0,10188
GBRTENW,2003,3,short,1,91
GBRTENW,2003,3,short,2,2669
GBRTENW,2003,3,short,3,21
GBRTENW,2003,3,short,4,155
GBRTENW,2003,3,short,5,296
GBRTENW,2003,3,short,6,302
